title,budget,release_year,runtime,vote_average,label
Monkeybone,75000000 ,2001,93,4.3,0
Flight of the Phoenix,45000000 ,2004,113,5.7,0
Unbreakable,75000000 ,2000,106,6.9,0
Minions,74000000 ,2015,91,6.4,0
Sucker Punch,82000000 ,2011,110,5.9,0
Snake Eyes,73000000 ,1998,98,5.8,0
Sphere,75000000 ,1998,134,5.8,0
The Angry Birds Movie,73000000 ,2016,97,5.9,0
Fool's Gold,70000000 ,2008,112,5.4,0
Funny People,75000000 ,2009,146,5.7,0
The Kingdom,70000000 ,2007,110,6.5,0
Talladega Nights: The Ballad of Ricky Bobby,72500000 ,2006,116,6.2,0
Dr. Dolittle 2,70000000 ,2001,87,4.9,0
Braveheart,72000000 ,1995,177,7.7,1
Jarhead,72000000 ,2005,125,6.6,0
The Simpsons Movie,75000000 ,2007,87,6.9,0
The Majestic,72000000 ,2001,152,6.6,0
Driven,94000000 ,2001,116,4.5,0
Two Brothers,74500000 ,2004,109,6.9,0
The Village,60000000 ,2004,108,6.2,0
Doctor Dolittle,71000000 ,1998,85,5.4,0
Signs,72000000 ,2002,106,6.4,0
Shrek 2,150000000 ,2004,93,6.7,0
Cars,120000000 ,2006,117,6.6,0
Runaway Bride,70000000 ,1999,116,5.7,0
xXx,70000000 ,2002,124,5.8,0
The SpongeBob Movie: Sponge Out of Water,74000000 ,2015,93,5.8,0
Ransom,80000000 ,1996,117,6.4,0
Inglourious Basterds,70000000 ,2009,153,7.9,1
Hook,70000000 ,1991,144,6.6,0
Die Hard 2,70000000 ,1990,124,6.6,0
S.W.A.T.,80000000 ,2003,117,5.8,0
Vanilla Sky,68000000 ,2001,136,6.5,0
Lady in the Water,75000000 ,2006,110,5.3,0
AVP: Alien vs. Predator,70000000 ,2004,101,5.5,0
Alvin and the Chipmunks: The Squeakquel,75000000 ,2009,88,5.4,0
We Were Soldiers,75000000 ,2002,138,6.7,0
Olympus Has Fallen,70000000 ,2013,120,6.2,0
Star Trek: Insurrection,70000000 ,1998,103,6.3,0
Battle: Los Angeles,70000000 ,2011,116,5.5,0
Big Fish,70000000 ,2003,125,7.6,1
War Horse,66000000 ,2011,146,7,0
The Monuments Men,70000000 ,2014,118,5.8,0
The Abyss,70000000 ,1989,139,7.1,1
Wall Street: Money Never Sleeps,70000000 ,2010,133,5.8,0
Dracula Untold,70000000 ,2014,92,6.2,0
The Siege,70000000 ,1998,116,6,0
Stardust,70000000 ,2007,127,7.1,1
Seven Years in Tibet,70000000 ,1997,136,7,0
The Dilemma,70000000 ,2011,111,5.2,0
Bad Company,70000000 ,2002,116,5.4,0
Doom,60000000 ,2005,105,5,0
I Spy,70000000 ,2002,97,5.2,0
Underworld: Awakening,70000000 ,2012,88,6.1,0
Rock of Ages,75000000 ,2012,123,6,0
Hart's War,70000000 ,2002,125,5.9,0
Killer Elite,66000000 ,2011,116,6.1,0
Ballistic: Ecks vs. Sever,70000000 ,2002,91,4.3,0
Hard Rain,70000000 ,1998,97,5.5,0
Osmosis Jones,75000000 ,2001,95,5.9,0
Legends of Oz: Dorothy's Return,70000000 ,2013,88,5.9,0
Blackhat,70000000 ,2015,133,5.1,0
Sky Captain and the World of Tomorrow,70000000 ,2004,107,5.7,0
Basic Instinct 2,70000000 ,2006,114,4.6,0
Escape Plan,50000000 ,2013,115,6.7,0
The Legend of Hercules,70000000 ,2014,99,4.4,0
The Sum of All Fears,68000000 ,2002,124,5.9,0
The Twilight Saga: Eclipse,68000000 ,2010,124,5.8,0
The Score,68000000 ,2001,124,6.7,0
Despicable Me,69000000 ,2010,95,7.1,1
Money Train,60000000 ,1995,103,5.4,0
Ted 2,68000000 ,2015,115,6.2,0
Agora,70000000 ,2009,127,6.9,0
Mystery Men,68000000 ,1999,121,5.7,0
Hall Pass,36000000 ,2011,105,5.4,0
The Insider,90000000 ,1999,157,7.3,1
The Finest Hours,80000000 ,2016,114,6.3,0
Body of Lies,70000000 ,2008,128,6.5,0
Dinner for Schmucks,69000000 ,2010,114,5.5,0
Abraham Lincoln: Vampire Hunter,69000000 ,2012,94,5.5,0
Entrapment,66000000 ,1999,112,6,0
The X Files,66000000 ,1998,121,6.6,0
The Last Legion,67000000 ,2007,102,5,0
Saving Private Ryan,70000000 ,1998,169,7.9,1
Need for Speed,66000000 ,2014,130,6.1,0
What Women Want,70000000 ,2000,127,6.1,0
Ice Age,59000000 ,2002,81,7.1,1
Dreamcatcher,68000000 ,2003,136,5.3,0
Lincoln,65000000 ,2012,149,6.7,0
The Matrix,63000000 ,1999,136,7.9,1
Apollo 13,52000000 ,1995,140,7.3,1
The Santa Clause 2,65000000 ,2002,104,5.5,0
Les Mis矇rables,61000000 ,2012,157,7.1,1
You've Got Mail,65000000 ,1998,119,6.3,0
Step Brothers,65000000 ,2008,98,6.5,0
The Mask of Zorro,95000000 ,1998,136,6.3,0
Due Date,65000000 ,2010,95,6.2,0
Unbroken,65000000 ,2014,137,7.3,1
Space Cowboys,65000000 ,2000,130,6.3,0
Cliffhanger,70000000 ,1993,112,6.1,0
Broken Arrow,50000000 ,1996,108,5.7,0
The Kid,65000000 ,2000,104,6,0
World Trade Center,63000000 ,2006,128,5.9,0
Mona Lisa Smile,65000000 ,2003,117,6.5,0
The Dictator,65000000 ,2012,83,5.9,0
Eyes Wide Shut,65000000 ,1999,159,7.1,1
Annie,65000000 ,2014,119,6,0
Focus,50100000 ,2015,105,6.7,0
This Means War,65000000 ,2012,103,5.9,0
Blade: Trinity,65000000 ,2004,123,5.7,0
Red Dawn,4200000 ,1984,114,6.4,0
Primary Colors,65000000 ,1998,143,6.1,0
Resident Evil: Retribution,65000000 ,2012,95,5.6,0
Death Race,45000000 ,2008,105,6,0
The Long Kiss Goodnight,65000000 ,1996,120,6.5,0
Proof of Life,65000000 ,2000,135,6,0
Zathura: A Space Adventure,65000000 ,2005,101,6.1,0
Fight Club,63000000 ,1999,139,8.3,1
We Are Marshall,65000000 ,2006,124,6.7,0
Hudson Hawk,65000000 ,1991,100,5.4,0
Lucky Numbers,65000000 ,2000,105,4.9,0
"I, Frankenstein",65000000 ,2014,92,5,0
Oliver Twist,50000000 ,2005,130,6.7,0
Elektra,43000000 ,2005,97,4.8,0
Sin City: A Dame to Kill For,65000000 ,2014,102,6.3,0
Random Hearts,64000000 ,1999,133,5.3,0
Everest,55000000 ,2015,121,6.7,0
Perfume: The Story of a Murderer,50000000 ,2006,147,7.1,1
Austin Powers in Goldmember,63000000 ,2002,94,5.9,0
Astro Boy,65000000 ,2009,94,6.1,0
Jurassic Park,63000000 ,1993,127,7.6,1
Wyatt Earp,63000000 ,1994,191,6.5,0
Clear and Present Danger,62000000 ,1994,141,6.4,0
Dragon Blade,65000000 ,2015,127,5.9,0
Little Man,64000000 ,2006,98,5.3,0
U-571,62000000 ,2000,116,6.1,0
The American President,62000000 ,1995,106,6.5,0
The Love Guru,62000000 ,2008,87,4.3,0
3000 Miles to Graceland,62000000 ,2001,125,5.8,0
The Hateful Eight,44000000 ,2015,167,7.6,1
Blades of Glory,53000000 ,2007,93,5.9,0
Hop,63000000 ,2011,95,5.5,0
Meet the Fockers,80000000 ,2004,115,6.1,0
Marley & Me,60000000 ,2008,115,6.9,0
The Green Mile,60000000 ,1999,189,8.2,1
Chicken Little,150000000 ,2005,81,5.6,0
Gone Girl,61000000 ,2014,145,7.9,1
The Bourne Identity,60000000 ,2002,119,7.3,1
GoldenEye,58000000 ,1995,130,6.6,0
The General's Daughter,60000000 ,1999,116,6.1,0
The Truman Show,60000000 ,1998,103,7.8,1
The Prince of Egypt,70000000 ,1998,99,6.8,0
Daddy Day Care,60000000 ,2003,92,5.6,0
2 Guns,61000000 ,2013,109,6.6,0
Cats & Dogs,60000000 ,2001,87,5,0
The Italian Job,60000000 ,2003,110,6.6,0
Two Weeks Notice,60000000 ,2002,101,5.9,0
Antz,60000000 ,1998,83,6,0
Couples Retreat,70000000 ,2009,113,5.3,0
Days of Thunder,60000000 ,1990,107,5.9,0
Cheaper by the Dozen 2,60000000 ,2005,94,5.7,0
Maze Runner: The Scorch Trials,61000000 ,2015,132,6.4,0
Eat Pray Love,60000000 ,2010,133,5.8,0
The Family Man,60000000 ,2000,125,6.5,0
RED,58000000 ,2010,111,6.6,0
Any Given Sunday,55000000 ,1999,163,6.8,0
The Horse Whisperer,60000000 ,1998,170,6.7,0
Collateral,65000000 ,2004,120,7,0
The Scorpion King,60000000 ,2002,92,5.3,0
Ladder 49,60000000 ,2004,115,6.2,0
Jack Reacher,60000000 ,2012,130,6.3,0
Deep Blue Sea,60000000 ,1999,105,5.6,0
This Is It,60000000 ,2009,111,6.7,0
Contagion,60000000 ,2011,106,6.2,0
Coraline,60000000 ,2009,100,7.3,1
The Happening,60000000 ,2008,91,4.9,0
Man on Fire,70000000 ,2004,146,7.3,1
The Shaggy Dog,50000000 ,2006,98,4.5,0
Starsky & Hutch,60000000 ,2004,101,5.6,0
Jingle All the Way,60000000 ,1996,89,5.5,0
Hellboy,66000000 ,2004,122,6.5,0
A Civil Action,70000000 ,1998,115,6.1,0
ParaNorman,60000000 ,2012,90,6.7,0
The Jackal,60000000 ,1997,124,6.1,0
Paycheck,60000000 ,2003,119,5.9,0
Up Close & Personal,60000000 ,1996,119,5.9,0
The Tale of Despereaux,60000000 ,2008,93,5.8,0
Under Siege 2: Dark Territory,60000000 ,1995,100,5.6,0
Jack Ryan: Shadow Recruit,60000000 ,2014,105,5.9,0
Joy,60000000 ,2015,124,6.4,0
London Has Fallen,60000000 ,2016,99,5.8,0
Alien: Resurrection,70000000 ,1997,109,5.9,0
Shooter,61000000 ,2007,124,6.9,0
The Boxtrolls,60000000 ,2014,97,6.6,0
Practical Magic,75000000 ,1998,104,6.3,0
The Lego Movie,60000000 ,2014,100,7.5,1
Reign of Fire,60000000 ,2002,101,6,0
Gangster Squad,60000000 ,2013,113,6.2,0
Year One,60000000 ,2009,97,4.6,0
Invictus,60000000 ,2009,134,7,0
State of Play,60000000 ,2009,127,6.7,0
Duplicity,78146652 ,2009,125,5.7,0
My Favorite Martian,65000000 ,1999,94,5.1,0
The Sentinel,60000000 ,2006,108,5.8,0
Planet 51,70000000 ,2009,91,5.6,0
Star Trek: Nemesis,60000000 ,2002,117,6.1,0
Intolerable Cruelty,60000000 ,2003,100,5.8,0
Edge of Darkness,80000000 ,2010,117,6.2,0
The Relic,60000000 ,1997,110,5.8,0
Analyze That,60000000 ,2002,96,5.7,0
Righteous Kill,60000000 ,2008,101,5.9,0
Mercury Rising,60000000 ,1998,111,6,0
The Soloist,60000000 ,2009,109,6.6,0
The Legend of Bagger Vance,80000000 ,2000,126,6.3,0
Almost Famous,60000000 ,2000,122,7.4,1
xXx: State of the Union,60000000 ,2005,101,4.7,0
Priest,60000000 ,2011,87,5.4,0
Sinbad: Legend of the Seven Seas,60000000 ,2003,86,6.6,0
Event Horizon,60000000 ,1997,96,6.5,0
Dragonfly,60000000 ,2002,104,6.1,0
The Black Dahlia,50000000 ,2006,121,5.7,0
Flyboys,60000000 ,2006,140,6.3,0
The Last Castle,72000000 ,2001,131,7,0
Supernova,90000000 ,2000,91,4.9,0
Winter's Tale,60000000 ,2014,118,6,0
The Mortal Instruments: City of Bones,60000000 ,2013,130,6.2,0
Meet Dave,60000000 ,2008,90,5,0
Dark Water,30000000 ,2005,105,5.3,0
Edtv,80000000 ,1999,122,5.7,0
Inkheart,60000000 ,2008,106,6,0
The Spirit,60000000 ,2008,103,4.7,0
Mortdecai,60000000 ,2015,106,5.4,0
In the Name of the King: A Dungeon Siege Tale,60000000 ,2007,127,4.1,0
Beyond Borders,35000000 ,2003,127,6.7,0
The Monkey King 2,68490000 ,2016,120,6,0
The Great Raid,80000000 ,2005,132,6.8,0
Deadpool,58000000 ,2016,108,7.4,1
Holy Man,60000000 ,1998,114,4.9,0
American Sniper,58800000 ,2014,133,7.4,1
Goosebumps,58000000 ,2015,103,6.2,0
Just Like Heaven,58000000 ,2005,95,6.5,0
The Flintstones in Viva Rock Vegas,83000000 ,2000,90,4.4,0
Rambo III,63000000 ,1988,102,5.7,0
Leatherheads,58000000 ,2008,114,5.7,0
The Ridiculous 6,60000000 ,2015,119,4.9,0
Did You Hear About the Morgans?,58000000 ,2009,103,5.1,0
The Internship,58000000 ,2013,119,6.1,0
Resident Evil: Afterlife,60000000 ,2010,97,5.8,0
Red Tails,58000000 ,2012,125,5.9,0
The Devil's Advocate,57000000 ,1997,144,7.2,1
That's My Boy,70000000 ,2012,116,5.5,0
DragonHeart,57000000 ,1996,103,6.4,0
After the Sunset,60000000 ,2004,97,6,0
Ghost Rider: Spirit of Vengeance,57000000 ,2011,95,4.7,0
Captain Corelli's Mandolin,57000000 ,2001,131,5.5,0
The Pacifier,56000000 ,2005,95,5.8,0
Walking Tall,56000000 ,2004,86,6,0
Forrest Gump,55000000 ,1994,142,8.2,1
Alvin and the Chipmunks,60000000 ,2007,92,5.5,0
Meet the Parents,55000000 ,2000,108,6.6,0
Pocahontas,55000000 ,1995,81,6.7,0
Superman,55000000 ,1978,143,6.9,0
The Nutty Professor,54000000 ,1996,95,5.4,0
Hitch,70000000 ,2005,118,6.4,0
George of the Jungle,55000000 ,1997,92,5.4,0
American Wedding,55000000 ,2003,103,6,0
Captain Phillips,55000000 ,2013,134,7.6,1
Date Night,55000000 ,2010,97,5.9,0
Casper,50000000 ,1995,100,6,0
The Equalizer,55000000 ,2014,132,7.1,1
Maid in Manhattan,55000000 ,2002,105,5.6,0
Crimson Tide,53000000 ,1995,116,7,0
The Pursuit of Happyness,55000000 ,2006,117,7.7,1
Flightplan,55000000 ,2005,98,6.1,0
Disclosure,55000000 ,1994,123,5.9,0
City of Angels,55000000 ,1998,114,6.4,0
Kill Bill: Vol. 1,30000000 ,2003,111,7.7,1
Bowfinger,55000000 ,1999,97,6,0
Kill Bill: Vol. 2,30000000 ,2004,136,7.6,1
Tango & Cash,55000000 ,1989,104,6.1,0
Death Becomes Her,55000000 ,1992,104,6.3,0
Shanghai Noon,55000000 ,2000,110,6.2,0
Executive Decision,55000000 ,1996,133,5.8,0
Mr. Popper's Penguins,55000000 ,2011,94,5.7,0
The Forbidden Kingdom,55000000 ,2008,104,6.3,0
Free Birds,55000000 ,2013,91,5.7,0
Alien糧,50000000 ,1992,114,6.2,0
Evita,55000000 ,1996,134,5.9,0
Ronin,55000000 ,1998,122,6.7,0
The Ghost and the Darkness,50000000 ,1996,109,6.4,0
Paddington,55000000 ,2014,95,7,0
The Watch,68000000 ,2012,98,5.3,0
The Hunted,55000000 ,2003,94,6,0
Instinct,80000000 ,1999,126,6.2,0
Stuck on You,55000000 ,2003,118,5.1,0
The Pirates! In an Adventure with Scientists!,60000000 ,2012,88,6.4,0
Changeling,55000000 ,2008,141,7.3,1
Chain Reaction,50000000 ,1996,107,5.3,0
The Fan,55000000 ,1996,116,5.7,0
The Phantom of the Opera,70000000 ,2004,143,7,0
Elizabeth: The Golden Age,55000000 ,2007,114,6.6,0
Gods and Generals,56000000 ,2003,214,6.1,0
Turbulence,55000000 ,1997,100,5.2,0
Imagine That,55000000 ,2009,107,5.7,0
Muppets Most Wanted,50000000 ,2014,112,6.2,0
Thunderbirds,57000000 ,2004,95,4.2,0
Burlesque,55000000 ,2010,119,6.9,0
A Very Long Engagement,47000000 ,2004,133,7.1,1
Lolita,2000000 ,1962,153,7.3,1
D-Tox,55000000 ,2002,96,5.3,0
Blade II,54000000 ,2002,117,6.2,0
Seven Pounds,55000000 ,2008,123,7.5,1
Bullet to the Head,55000000 ,2013,92,5.2,0
The Godfather: Part III,54000000 ,1990,162,7.1,1
Elizabethtown,57000000 ,2005,123,6.1,0
"You, Me and Dupree",54000000 ,2006,108,5.4,0
Superman II,54000000 ,1980,127,6.5,0
Gigli,54000000 ,2003,121,3.5,0
All the King's Men,55000000 ,2006,125,5.7,0
Shaft,46000000 ,2000,99,5.5,0
Anastasia,53000000 ,1997,94,7.4,1
Moulin Rouge!,52500000 ,2001,127,7.4,1
Domestic Disturbance,75000000 ,2001,89,5.4,0
Black Mass,53000000 ,2015,122,6.3,0
Flags of Our Fathers,90000000 ,2006,132,6.7,0
Law Abiding Citizen,53000000 ,2009,109,7.2,1
Grindhouse,67000000 ,2007,191,6.8,0
Catch Me If You Can,52000000 ,2002,141,7.7,1
Zero Dark Thirty,40000000 ,2012,157,6.7,0
The Break-Up,52000000 ,2006,106,5.6,0
Mamma Mia!,52000000 ,2008,108,6.4,0
Valentine's Day,52000000 ,2010,125,5.7,0
The Dukes of Hazzard,50000000 ,2005,104,5.1,0
The Thin Red Line,52000000 ,1998,170,7.2,1
The Change-Up,52000000 ,2011,112,5.9,0
Man on the Moon,82000000 ,1999,118,6.9,0
Casino,52000000 ,1995,178,7.8,1
From Paris with Love,52000000 ,2010,92,6.1,0
Bulletproof Monk,52000000 ,2003,104,5.1,0
"Me, Myself & Irene",51000000 ,2000,116,6.1,0
Barnyard,51000000 ,2006,90,5.3,0
The Twilight Saga: New Moon,50000000 ,2009,130,5.6,0
Shrek,60000000 ,2001,90,7.3,1
The Adjustment Bureau,50200000 ,2011,106,6.5,0
Robin Hood: Prince of Thieves,48000000 ,1991,143,6.6,0
Jerry Maguire,50000000 ,1996,139,6.7,0
Ted,50000000 ,2012,106,6.3,0
As Good as It Gets,50000000 ,1997,139,7.2,1
Patch Adams,50000000 ,1998,115,7,0
Anchorman 2: The Legend Continues,50000000 ,2013,119,6,0
Mr. Deeds,50000000 ,2002,96,5.6,0
Super 8,50000000 ,2011,112,6.6,0
Erin Brockovich,52000000 ,2000,131,7.1,1
How to Lose a Guy in 10 Days,50000000 ,2003,116,6.3,0
22 Jump Street,50000000 ,2014,112,7,0
Interview with the Vampire,60000000 ,1994,123,7.2,1
Yes Man,70000000 ,2008,104,6.4,0
Central Intelligence,50000000 ,2016,107,6.2,0
Daddy's Home,50000000 ,2015,96,5.8,0
Into the Woods,50000000 ,2014,125,5.6,0
Inside Man,45000000 ,2006,129,7.3,1
Payback,90000000 ,1999,100,6.7,0
Congo,50000000 ,1995,109,5,0
We Bought a Zoo,50000000 ,2011,124,6.5,0
Knowing,50000000 ,2009,121,5.9,0
Failure to Launch,50000000 ,2006,97,5.5,0
The Ring Two,50000000 ,2005,110,5.4,0
"Crazy, Stupid, Love.",50000000 ,2011,118,7,0
Garfield,50000000 ,2004,80,5.2,0
Christmas with the Kranks,60000000 ,2004,99,5.2,0
Moneyball,50000000 ,2011,133,7,0
Outbreak,50000000 ,1995,127,6.3,0
Non-Stop,50000000 ,2014,106,6.8,0
Race to Witch Mountain,50000000 ,2009,98,5.5,0
V for Vendetta,54000000 ,2006,132,7.7,1
Shanghai Knights,50000000 ,2003,115,6,0
Curious George,50000000 ,2006,86,6.2,0
Herbie Fully Loaded,50000000 ,2005,101,5.1,0
Don't Say a Word,50000000 ,2001,113,6,0
Hansel & Gretel: Witch Hunters,50000000 ,2013,88,5.7,0
Unfaithful,50000000 ,2002,124,6.3,0
I Am Number Four,50000000 ,2011,109,5.9,0
Syriana,50000000 ,2005,128,6.3,0
13 Hours: The Secret Soldiers of Benghazi,50000000 ,2016,144,7,0
The Book of Life,50000000 ,2014,95,7.3,1
Firewall,45000000 ,2006,105,5.6,0
Absolute Power,50000000 ,1997,121,6.4,0
G.I. Jane,50000000 ,1997,125,6,0
The Game,50000000 ,1997,129,7.5,1
Silent Hill,50000000 ,2006,125,6.3,0
American Reunion,50000000 ,2012,113,6.1,0
The Negotiator,50000000 ,1998,140,6.8,0
Into the Storm,50000000 ,2014,89,5.8,0
Beverly Hills Cop III,50000000 ,1994,104,5.5,0
Gremlins 2: The New Batch,50000000 ,1990,106,6.2,0
The Judge,50000000 ,2014,141,7.2,1
The Peacemaker,50000000 ,1997,124,5.8,0
Resident Evil: Apocalypse,45000000 ,2004,94,6.1,0
Bridget Jones: The Edge of Reason,50000000 ,2004,108,6.1,0
Out of Time,50000000 ,2003,105,6.1,0
On Deadly Ground,50000000 ,1994,102,4.5,0
The Adventures of Sharkboy and Lavagirl,50000000 ,2005,92,4.4,0
The Beach,40000000 ,2000,119,6.3,0
Raising Helen,50000000 ,2004,119,5.9,0
Ninja Assassin,40000000 ,2009,99,6.2,0
For Love of the Game,50000000 ,1999,137,6.3,0
Striptease,50000000 ,1996,115,4.4,0
Marmaduke,50000000 ,2010,87,5,0
Hereafter,50000000 ,2010,129,5.8,0
Murder by Numbers,50000000 ,2002,120,6,0
Assassins,50000000 ,1995,132,6,0
Hannibal Rising,50000000 ,2007,121,6,0
The Story of Us,50000000 ,1999,95,5.9,0
The Host,44000000 ,2013,125,6,0
Basic,50000000 ,2003,98,6.2,0
Blood Work,50000000 ,2002,110,6.1,0
The International,50000000 ,2009,118,6,0
Escape from L.A.,50000000 ,1996,97,5.6,0
The Iron Giant,70000000 ,1999,86,7.6,1
The Life Aquatic with Steve Zissou,50000000 ,2004,119,7.1,1
Free State of Jones,50000000 ,2016,139,6.6,0
The Life of David Gale,50000000 ,2003,130,7.3,1
Man of the House,40000000 ,2005,100,5.4,0
Run All Night,50000000 ,2015,114,6.3,0
Eastern Promises,51500000 ,2007,100,7.2,1
Into the Blue,50000000 ,2005,110,5.8,0
The Messenger: The Story of Joan of Arc,60000000 ,1999,148,6.2,0
Your Highness,49900000 ,2011,102,5.2,0
Dream House,50000000 ,2011,84,5.8,0
Mad City,50000000 ,1997,114,5.9,0
Baby's Day Out,50000000 ,1994,99,5.8,0
The Scarlet Letter,50000000 ,1995,135,5.5,0
Fair Game,22000000 ,2010,108,6.5,0
Domino,50000000 ,2005,127,6,0
Jade,50000000 ,1995,95,5.2,0
Gamer,50000000 ,2009,95,5.6,0
Beautiful Creatures,60000000 ,2013,124,5.6,0
Death to Smoochy,55000000 ,2002,109,5.9,0
Zoolander 2,50000000 ,2016,100,4.7,0
The Big Bounce,50000000 ,2004,88,5,0
What Planet Are You From?,60000000 ,2000,105,5.4,0
Drive Angry,50000000 ,2011,105,5.3,0
Street Fighter: The Legend of Chun-Li,50000000 ,2009,97,3.9,0
The One,49000000 ,2001,87,5.7,0
The Adventures of Ford Fairlane,49000000 ,1990,104,6.2,0
The Boat That Rocked,50000000 ,2009,116,7.2,1
Traffic,48000000 ,2000,147,6.9,0
Indiana Jones and the Last Crusade,48000000 ,1989,127,7.6,1
Chappie,49000000 ,2015,120,6.6,0
The Bone Collector,73000000 ,1999,118,6.5,0
Panic Room,48000000 ,2002,111,6.5,0
Three Kings,75000000 ,1999,114,6.6,0
Child 44,50000000 ,2015,137,6.1,0
Rat Race,48000000 ,2001,112,6,0
K-PAX,48000000 ,2001,120,7.1,1
Bedazzled,48000000 ,2000,93,5.6,0
The Cotton Club,58000000 ,1984,127,6.6,0
3:10 to Yuma,55000000 ,2007,122,6.9,0
Taken 3,48000000 ,2014,109,6.1,0
Out of Sight,48000000 ,1998,123,6.5,0
The Cable Guy,47000000 ,1996,96,5.7,0
Dick Tracy,47000000 ,1990,103,5.9,0
The Thomas Crown Affair,48000000 ,1999,113,6.6,0
Riding in Cars with Boys,48000000 ,2001,132,6.5,0
First Blood,15000000 ,1982,93,7.2,1
Happily N'Ever After,47000000 ,2006,75,4.6,0
Mary Reilly,47000000 ,1996,104,5.7,0
My Best Friend's Wedding,38000000 ,1997,105,6.3,0
Insomnia,46000000 ,2002,118,6.8,0
Star Trek: First Contact,46000000 ,1996,111,7,0
Jonah Hex,47000000 ,2010,80,4.4,0
Courage Under Fire,46000000 ,1996,117,6.2,0
Liar Liar,45000000 ,1997,86,6.4,0
The Infiltrator,25000000 ,2016,127,6.6,0
Inchon,46000000 ,1981,140,6.5,0
The Flintstones,46000000 ,1994,91,5,0
Taken 2,45000000 ,2012,91,6.1,0
Scary Movie 3,48000000 ,2003,84,5.8,0
Miss Congeniality,45000000 ,2000,111,6.1,0
Journey to the Center of the Earth,45000000 ,2008,93,5.8,0
The Princess Diaries 2: Royal Engagement,40000000 ,2004,113,6,0
The Pelican Brief,45000000 ,1993,141,6.3,0
The Client,45000000 ,1994,119,6.4,0
The Bucket List,45000000 ,2007,97,7,0
Patriot Games,45000000 ,1992,117,6.3,0
Monster-in-Law,43000000 ,2005,101,5.6,0
Prisoners,46000000 ,2013,153,7.9,1
Training Day,45000000 ,2001,122,7.3,1
Galaxy Quest,45000000 ,1999,102,6.9,0
Scary Movie 2,45000000 ,2001,83,5.4,0
The Muppets,45000000 ,2011,103,6.5,0
Blade,45000000 ,1998,120,6.5,0
Coach Carter,30000000 ,2005,136,7.3,1
Changing Lanes,45000000 ,2002,89,5.9,0
Anaconda,45000000 ,1997,89,4.7,0
Coyote Ugly,45000000 ,2000,100,5.8,0
Love Actually,40000000 ,2003,135,7,0
A Bug's Life,120000000 ,1998,95,6.8,0
From Hell,35000000 ,2001,122,6.6,0
The Specialist,45000000 ,1994,110,5.5,0
Tin Cup,45000000 ,1996,135,5.9,0
Kicking & Screaming,45000000 ,2005,95,5.6,0
The Hitchhiker's Guide to the Galaxy,50000000 ,2005,109,6.6,0
Resident Evil: Extinction,45000000 ,2007,94,6.1,0
Blended,40000000 ,2014,117,6.6,0
Last Holiday,45000000 ,2006,112,6.4,0
The River Wild,45000000 ,1994,111,6.1,0
The Indian in the Cupboard,45000000 ,1995,96,5.9,0
Savages,45000000 ,2012,131,6.2,0
Cellular,25000000 ,2004,94,6.1,0
Johnny English,40000000 ,2003,88,6,0
The Ant Bully,50000000 ,2006,88,5.5,0
Dune,40000000 ,1984,137,6.5,0
Revolutionary Road,35000000 ,2008,119,6.7,0
16 Blocks,55000000 ,2006,105,6.2,0
Babylon A.D.,70000000 ,2008,101,5.4,0
The Glimmer Man,45000000 ,1996,92,4.7,0
Multiplicity,45000000 ,1996,117,5.5,0
Aliens in the Attic,45000000 ,2009,86,5.3,0
The Pledge,35000000 ,2001,123,6.5,0
The Producers,45000000 ,2005,134,6.1,0
The Phantom,45000000 ,1996,100,4.7,0
All the Pretty Horses,57000000 ,2000,117,5.8,0
Nixon,44000000 ,1995,192,7.1,1
The Ghost Writer,45000000 ,2010,128,6.7,0
Deep Rising,45000000 ,1998,106,6,0
Miracle at St. Anna,45000000 ,2008,160,6.3,0
Bangkok Dangerous,45000000 ,2008,99,5,0
Big Trouble,40000000 ,2002,85,6.3,0
Love in the Time of Cholera,45000000 ,2007,139,6.4,0
Shadow Conspiracy,45000000 ,1997,103,4,0
Johnny English Reborn,45000000 ,2011,101,6,0
Foodfight!,65000000 ,2012,87,2.3,0
Argo,44500000 ,2012,120,7.1,1
The Fugitive,44000000 ,1993,130,7.2,1
The Bounty Hunter,40000000 ,2010,110,5.5,0
Sleepers,44000000 ,1996,147,7.3,1
Rambo: First Blood Part II,44000000 ,1985,96,6.3,0
The Juror,44000000 ,1996,118,5.5,0
Pinocchio,2600000 ,1940,88,6.9,0
Heaven's Gate,44000000 ,1980,219,6.4,0
Underworld: Evolution,50000000 ,2006,106,6.4,0
Victor Frankenstein,40000000 ,2015,109,5.6,0
Finding Forrester,43000000 ,2000,136,7,0
28 Days,43000000 ,2000,103,6,0
Unleashed,45000000 ,2005,103,6.6,0
The Sweetest Thing,43000000 ,2002,84,5.3,0
The Firm,42000000 ,1993,154,6.6,0
Charlie St. Cloud,44000000 ,2010,99,6.8,0
The Mechanic,40000000 ,2011,93,6.3,0
21 Jump Street,42000000 ,2012,109,6.7,0
Notting Hill,42000000 ,1999,124,7,0
Chicken Run,45000000 ,2000,84,6.5,0
Along Came Polly,42000000 ,2004,90,5.8,0
Boomerang,40000000 ,1992,117,5.4,0
The Heat,43000000 ,2013,117,6.5,0
Cleopatra,31115000 ,1963,248,6.7,0
High Crimes,42000000 ,2002,115,6.1,0
The Mirror Has Two Faces,42000000 ,1996,126,6.5,0
